JUSTIN_VILLAGE_NAME,JID,VILLAGE_ALT_1,VILLAGE_ALT_2,VILLAGE_ALT_3,LGD_VILLAGE_CODE,SDC,SDN,DN,LGD_CODE,CENSUS_2011_CODE,CENSUS_2011_CODE2
Chicalim,56,Chicalim (CT),,,626885,05615,Mormugao,South Goa,626885,626885,0
Bainguinim,284,,,,626715,05611,Tiswadi,North Goa,626715,626715,0
Bali,500,,,,626949,05617,Quepem,South Goa,626949,626949,0
Cordem,493,,,,626958,05617,Quepem,South Goa,626958,626958,0
Tiloi,501,,,,626954,05617,Quepem,South Goa,626954,626954,0
Bambolim,255,Bambolim (CT),,,626733,05611,Tiswadi,North Goa,626733,626733,0
Cazur,219,,,,626967,05617,Quepem,South Goa,626967,626967,0
Benaulim,145,Benaulim (CT),,,626931,05616,Salcete,South Goa,626931,626931,0
Bandora,364,Bandora (CT),,,626869,05614,Ponda,South Goa,626869,626869,0
Curti,363,Curti (CT),,,626870,05614,Ponda,South Goa,626870,626870,0
Bandoli,76,,,,626984,05931,Dharbandora,South Goa,626984,626984,0
Codqui,279,Khadki,,,626823,05613,Satari,North Goa,626823,626823,0
Barcem,23,,,,626961,05617,Quepem,South Goa,626961,626961,0
Bati,58,,,,627006,05618,Sanguem,South Goa,627006,627006,0
Querim,107,,,,626785,05613,Satari,North Goa,626785,626785,0
Bendordem,34,,,,626955,05617,Quepem,South Goa,626955,626955,0
Betqui,275,,,,626844,05614,Ponda,South Goa,626844,626844,0
Betora,238,,,,626859,05614,Ponda,South Goa,626859,626859,0
Navelim,198,,,,626759,05612,Bicholim,North Goa,626759,626759,0
Maem,270,,,,626752,05612,Bicholim,North Goa,626752,626752,0
Birondem,96,,,,626830,05613,Satari,North Goa,626830,626830,0
Padeli,171,,,,626829,05613,Satari,North Goa,626829,626829,0
Buimpal,297,,,,626807,05613,Satari,North Goa,626807,626807,0
Boma,232,,,,626990,05618,Sanguem,South Goa,626990,626990,0
Bombedem,358,,,,626802,05613,Satari,North Goa,626802,626802,0
